Close,High,Low
0.9067,0.908,0.8945
0.909,0.9128,0.905
0.8992,0.9107,0.8992
0.9185,0.9199,0.898
0.9123,0.919,0.9122
0.9034,0.9105,0.9024
0.8952,0.903,0.889
0.8934,0.896,0.8905
0.8991,0.9002,0.8845
0.9048,0.9074,0.8955
0.9059,0.9155,0.9017
0.9069,0.9126,0.903
0.9124,0.913,0.898
0.9314,0.934,0.911
0.9265,0.9335,0.924
0.9318,0.941,0.9245
0.9358,0.9375,0.928
0.9327,0.938,0.9283
0.9421,0.9504,0.9297
0.9485,0.949,0.9413
0.9548,0.96,0.945
0.9621,0.9627,0.953
0.9567,0.9702,0.9513
0.9537,0.957,0.946
0.9535,0.956,0.949
0.9606,0.9626,0.952
0.9605,0.9655,0.9575
0.9535,0.9605,0.95
0.9654,0.9657,0.9485
0.9591,0.9695,0.9576
0.9579,0.962,0.9536
0.945,0.9545,0.9431
0.9379,0.9475,0.9345
0.9362,0.9529,0.934
0.9382,0.9396,0.9295
0.9466,0.9468,0.9355
0.9431,0.947,0.9399
0.9521,0.9536,0.9415
0.9536,0.9602,0.9505
0.9507,0.9545,0.948
0.952,0.9521,0.946
0.9535,0.9572,0.9505
0.9506,0.9595,0.9495
0.9468,0.9527,0.9458
0.9545,0.9549,0.9475
0.9519,0.9565,0.9492
0.9419,0.9525,0.9392
0.9363,0.9425,0.9329
0.9377,0.939,0.9317
0.9356,0.94,0.934
0.9264,0.9365,0.923
0.9232,0.926,0.9193
0.9328,0.9333,0.92
0.937,0.9381,0.931
0.9327,0.9375,0.931
0.938,0.9428,0.932
0.9416,0.945,0.938
0.9323,0.944,0.9316
0.9234,0.9335,0.9225
0.9269,0.9294,0.922
0.9145,0.9285,0.914
0.912,0.919,0.9113
0.907,0.918,0.8997
0.9079,0.91,0.9014
0.9084,0.9112,0.905
0.9018,0.909,0.8987
0.8986,0.9034,0.8963
0.9077,0.9097,0.9005
0.9033,0.914,0.9023
0.9052,0.9068,0.9001
0.9132,0.914,0.9055
0.9157,0.9175,0.9065
0.9173,0.9176,0.9117
0.9068,0.9185,0.9062
0.9018,0.9075,0.9009
0.8974,0.9035,0.8949
0.9002,0.9004,0.891
0.9023,0.9051,0.8995
0.9027,0.9072,0.8975
0.9001,0.9045,0.8986
0.8924,0.902,0.8914
0.8926,0.894,0.887
0.8878,0.897,0.8838
0.8997,0.9018,0.8875
0.8985,0.904,0.8965
0.8888,0.899,0.885
0.8703,0.8895,0.8688
0.8736,0.8766,0.8635
0.8695,0.874,0.864
0.8586,0.8725,0.8565
0.8627,0.8691,0.855
0.8613,0.8705,0.8585
0.8647,0.8735,0.8565
0.8556,0.87,0.8535
0.8539,0.8575,0.8512
0.8515,0.8565,0.8476
0.8478,0.852,0.844
0.8581,0.8593,0.846
0.8789,0.904,0.8573
0.8726,0.883,0.871
0.8822,0.8833,0.873
0.8834,0.8885,0.8782
0.8817,0.8863,0.878
0.8821,0.885,0.875
0.8784,0.8855,0.878
0.8741,0.8785,0.873
0.8746,0.878,0.8716
0.8691,0.8786,0.8679
0.868,0.874,0.8666
0.868,0.871,0.867
0.8714,0.8745,0.866
0.8688,0.8765,0.868
0.8626,0.868,0.8612
0.8537,0.866,0.8529
0.8496,0.856,0.8459
0.8554,0.8556,0.8475
0.8382,0.8575,0.8326
0.8435,0.8445,0.8381
0.8419,0.849,0.8349
0.8355,0.842,0.8349
0.8371,0.84,0.8345
0.8276,0.8385,0.8248
0.829,0.8321,0.8228
0.8399,0.8444,0.8285
0.8425,0.853,0.839
0.849,0.85,0.838
0.8609,0.8614,0.847
0.8604,0.8665,0.8555
0.8652,0.88,0.8575
0.8606,0.873,0.8559
0.8614,0.8665,0.8576
0.855,0.869,0.8517
0.8658,0.8674,0.852
0.8614,0.8705,0.8598
0.8605,0.8665,0.8579
0.8569,0.8615,0.8549
0.8578,0.863,0.8554
0.8521,0.86,0.8516
0.8475,0.8575,0.8482
0.8493,0.8522,0.8463
0.8433,0.853,0.8416
0.8446,0.8485,0.8411
0.839,0.846,0.8385
0.84,0.8455,0.8375
0.8519,0.8525,0.839
0.8565,0.858,0.8505
0.8581,0.8658,0.8555
0.872,0.8737,0.857
0.8783,0.879,0.8701
0.8874,0.8932,0.8755
0.8806,0.8905,0.8787
0.8909,0.892,0.877
0.8888,0.8975,0.8856
0.8831,0.8915,0.8822
0.8774,0.8865,0.875
0.8803,0.884,0.8753
0.8758,0.882,0.8715
0.8892,0.8901,0.8755
0.8958,0.9,0.8905
0.8937,0.9015,0.8924
0.8933,0.8965,0.888
0.9079,0.9095,0.895
0.914,0.917,0.906
0.9235,0.926,0.9145
0.9235,0.9235,0.9235
0.932,0.9325,0.9235
0.9304,0.934,0.9273
0.9286,0.932,0.9247
0.9398,0.94,0.928
0.9398,0.9398,0.9398
0.9488,0.9515,0.937
0.9291,0.957,0.9269
0.9503,0.952,0.9265
0.9575,0.9595,0.9467
0.9506,0.959,0.9468
0.9441,0.9475,0.9385
0.939,0.9465,0.9379
0.9517,0.9554,0.9465
0.9504,0.958,0.9468
0.9425,0.953,0.941
0.9413,0.9445,0.9373
0.9344,0.945,0.929
0.9444,0.9465,0.935
0.9342,0.9505,0.9339
0.9381,0.9396,0.9271
0.9389,0.945,0.937
0.9234,0.937,0.9216
0.9214,0.924,0.9118
0.924,0.9315,0.9199
0.9184,0.926,0.9177
0.927,0.928,0.9145
0.9365,0.9365,0.9255
0.942,0.9445,0.936
0.9348,0.942,0.9318
0.9389,0.9441,0.934
0.93,0.9385,0.9284
0.9308,0.935,0.926
0.9178,0.93,0.9151
0.9263,0.9273,0.913
0.9313,0.933,0.9245
0.9205,0.933,0.9172
0.919,0.922,0.9166
0.9034,0.9195,0.9028
0.9162,0.9177,0.9045
0.9215,0.9235,0.912
0.9097,0.924,0.9051
0.9083,0.918,0.906
0.9051,0.913,0.9016
0.919,0.9208,0.9025
0.9115,0.9185,0.9079
0.917,0.9206,0.9085
0.9233,0.9255,0.916
0.9319,0.9321,0.922
0.9342,0.938,0.9285
0.93,0.9365,0.9284
0.9335,0.9339,0.925
0.9287,0.937,0.9263
0.9317,0.934,0.927
0.9324,0.9375,0.9295
0.9279,0.934,0.926
0.9142,0.931,0.9133
0.9097,0.921,0.908
0.9007,0.913,0.8957
0.8956,0.9,0.8913
0.8985,0.9015,0.8935
0.9086,0.909,0.8985
0.8957,0.9125,0.8936
0.8879,0.8965,0.8833
0.889,0.8965,0.8855
0.896,0.8968,0.8885
0.8931,0.8992,0.8897
0.8863,0.8945,0.8848
0.8826,0.8885,0.8798
0.879,0.886,0.8755
0.8799,0.8836,0.873
0.8962,0.8969,0.8795
0.9023,0.9051,0.8935
0.8966,0.909,0.894
0.9027,0.9049,0.8925
0.8981,0.9045,0.899
0.8881,0.899,0.8862
0.887,0.8915,0.881
0.8917,0.8942,0.8837
0.891,0.8934,0.89
0.8862,0.8905,0.8833
0.8819,0.891,0.8777
0.8846,0.8897,0.8699
0.894,0.8957,0.881
0.9039,0.9047,0.8955
0.8972,0.9025,0.8945
0.8942,0.901,0.8931
0.8965,0.9001,0.8905
0.9039,0.9041,0.8945
0.8913,0.9055,0.889
0.8883,0.8925,0.8853
0.8921,0.894,0.8855
0.8932,0.8951,0.8885
0.89,0.8975,0.8882
0.8946,0.901,0.8894
0.8904,0.8935,0.8901
0.8835,0.891,0.8827
0.8849,0.8859,0.8814
0.8819,0.892,0.8781
0.8762,0.8825,0.8737
0.8744,0.876,0.8727
0.8782,0.8799,0.873
0.8743,0.8865,0.875
0.8829,0.888,0.879
0.8796,0.883,0.8756
0.8769,0.882,0.874
0.8652,0.8775,0.8626
0.8552,0.8662,0.8548
0.8566,0.8612,0.85
0.8582,0.8625,0.8535
0.8595,0.8615,0.858
0.8561,0.861,0.8529
0.8569,0.859,0.8535
0.8562,0.8568,0.8444
0.8476,0.8497,0.8433
0.846,0.8538,0.8442
0.8525,0.8535,0.842
0.8478,0.857,0.8448
0.8505,0.8516,0.8455
0.8512,0.8517,0.846
0.8438,0.854,0.8411
0.852,0.8535,0.8414
0.8531,0.8568,0.851
0.8629,0.8635,0.8486
0.8615,0.8672,0.86
0.8611,0.8645,0.8575
0.854,0.8612,0.8531
0.8545,0.8557,0.8496
0.8552,0.858,0.8515
0.856,0.8576,0.851
0.8605,0.8625,0.8565
0.8633,0.865,0.8585
0.8608,0.866,0.8588
0.8443,0.8615,0.8435
0.8494,0.8497,0.8435
0.8463,0.8515,0.8435
0.848,0.8505,0.8455
0.846,0.8505,0.8435
0.8365,0.848,0.8355
0.8473,0.8477,0.8345
0.8477,0.8507,0.844
0.8548,0.8574,0.8485
0.8594,0.8641,0.8535
0.8535,0.859,0.8507
0.8539,0.856,0.851
0.8551,0.86,0.8535
0.8589,0.8608,0.849
0.8723,0.8737,0.857
0.8715,0.8785,0.8679
0.8715,0.8785,0.8703
0.8687,0.8715,0.8654
0.8751,0.8762,0.8685
0.8803,0.8813,0.8715
0.8782,0.8823,0.8748
0.8763,0.8805,0.8724
0.8749,0.8772,0.872
0.8751,0.8782,0.8725
0.8811,0.883,0.8755
0.883,0.884,0.8785
0.8842,0.8873,0.878
0.8818,0.883,0.8785
0.8771,0.8815,0.875
0.8806,0.8807,0.8735
0.8925,0.8941,0.8805
0.8936,0.8959,0.891
0.8977,0.9007,0.8925
0.9027,0.9035,0.8935
0.9125,0.914,0.902
0.9142,0.92,0.9093
0.9174,0.9179,0.91
0.9137,0.92,0.911
0.913,0.9175,0.9078
0.9146,0.924,0.9135
0.9154,0.9168,0.91
0.913,0.9165,0.9079
0.9116,0.9124,0.908
0.9111,0.9126,0.9024
0.9104,0.915,0.9085
0.9173,0.918,0.906
0.9097,0.92,0.9064
0.9077,0.9105,0.9059
0.8858,0.908,0.8847
0.8864,0.891,0.8855
0.8947,0.8961,0.8825
0.9053,0.9066,0.893
0.9001,0.9075,0.8979
0.915,0.9165,0.895
0.907,0.915,0.901
0.9121,0.9123,0.9045
0.9218,0.925,0.908
0.9258,0.9335,0.9172
0.9251,0.926,0.9185
0.93,0.9325,0.923
0.9257,0.9295,0.923
0.9132,0.9275,0.9091
0.9163,0.9197,0.9105
0.9229,0.9249,0.9145
0.9234,0.9245,0.9195
0.9174,0.923,0.9175
0.9101,0.918,0.9085
0.9169,0.9176,0.906
0.9188,0.9195,0.9135
0.913,0.9232,0.9127
0.9156,0.9165,0.9113
0.917,0.9205,0.9155
0.92,0.9245,0.9165
0.9135,0.9225,0.9133
0.9106,0.9158,0.9104
0.9033,0.9125,0.8991
0.9091,0.9123,0.901
0.9083,0.9135,0.9071
0.9086,0.9112,0.9039
0.903,0.9092,0.901
0.9042,0.9057,0.9
0.8991,0.904,0.8966
0.8925,0.9,0.8895
0.8906,0.8925,0.887
0.8934,0.8945,0.89
0.8938,0.8979,0.888
0.8919,0.895,0.8904
0.9035,0.9051,0.892
0.9049,0.91,0.9035
0.9,0.9075,0.8986
0.9037,0.9119,0.8995
0.9024,0.9073,0.9015
0.8975,0.9015,0.8945
0.8973,0.8995,0.8956
0.8954,0.9045,0.8938
0.8939,0.8985,0.8907
0.8935,0.8946,0.889
0.895,0.9014,0.8915
